,sub_id,age,condition,Delta conn,Theta conn,Alpha conn,Beta conn
0,me2_119_7m,7mo,_02,0.4594480843469537,0.48441381077721063,0.35694784968209314,0.49355950774729274
1,me2_220_7m,7mo,_02,0.8103688787839066,0.6544714636410772,0.6302495919191513,0.4622234693424314
2,me2_203_7m,7mo,_02,0.8827565820052238,0.7491697840373844,0.6062252382995197,0.5232832641298194
3,me2_207_7m,7mo,_02,0.7130848769889317,0.6881118228688249,0.41859707838916504,0.5009278564785952
4,me2_205_7m,7mo,_02,0.6307617079386615,0.5608622305406467,0.549854320729781,0.45267942516103576
5,me2_215_7m,7mo,_02,0.9064987294020457,0.7660520133948172,0.7555236264439363,0.7258216755755391
6,me2_217_7m,7mo,_02,0.7987696257386975,0.8487605532740882,0.8163842388265499,0.7730540857305696
7,me2_104_7m,7mo,_02,0.6329543327148155,0.6996957856336378,0.5665104218444895,0.639944900020221
8,me2_120_7m,7mo,_02,0.9625004430061631,0.7908600755721339,0.7821867555665676,0.878088055800247
9,me2_106_7m,7mo,_02,0.883630239879122,0.7329726341053472,0.7962689443234645,0.6964301362608787
10,me2_216_7m,7mo,_02,0.9097309445000978,0.8215641367660352,0.7622731623316291,0.714884079233024
11,me2_114_7m,7mo,_02,0.7312430254998441,0.7582574455713192,0.6969002030796956,0.515224275934851
12,me2_211_7m,7mo,_02,0.6737098459651683,0.5294837483833551,0.6467852545010232,0.592093822137608
13,me2_116_7m,7mo,_02,0.5675618883371976,0.683308311233412,0.5353668388044838,0.4411480880332283
14,me2_113_7m,7mo,_02,0.7967516831497442,0.8320114186532714,0.7003532522365853,0.7708179360751486
15,me2_206_7m,7mo,_02,0.5865960739142059,0.571148315445344,0.541088045599373,0.5537510953376424
16,me2_127_7m,7mo,_02,0.9652241086416473,0.9399793342110255,0.9187807291405998,0.8605826727454589
17,me2_218_7m,7mo,_02,0.5861758504828348,0.6195171510184807,0.574026727129026,0.611275778029087
18,me2_204_7m,7mo,_02,0.7349558171483452,0.6067544120258305,0.3566405738092501,0.4295317849443188
19,me2_101_7m,7mo,_02,0.785396973085708,0.7042360908334908,0.5524479359568438,0.5815330675963872
20,me2_111_7m,7mo,_02,0.8959329171043348,0.8412094326476908,0.7699882274694577,0.7099623145063666
21,me2_221_7m,7mo,_02,0.9480496485498452,0.8985001807422057,0.8522384202874808,0.7721487879816364
22,me2_128_7m,7mo,_02,0.8769858066117417,0.6668493458032606,0.6828944602949981,0.7709870286647093
23,me2_209_7m,7mo,_02,0.5714993110983145,0.31652932000358747,0.38853376882224266,0.4112974107161352
24,me2_212_7m,7mo,_02,0.8374549799571402,0.8159529232034789,0.6748678032436455,0.717215828781541
25,me2_117_7m,7mo,_02,0.7641535403734748,0.45952104467748095,0.3706434200645057,0.582163047853434
26,me2_119_7m,7mo,_03,0.6217872235317629,0.5733786809313526,0.4270553359565525,0.4856456300012231
27,me2_220_7m,7mo,_03,0.9034899482455372,0.6951135125107523,0.5993216405535555,0.45063173786174704
28,me2_203_7m,7mo,_03,0.9690002037358487,0.9317047959864996,0.9038744222484377,0.818865309236923
29,me2_207_7m,7mo,_03,0.7454856106783663,0.3573442047747281,0.4903715845842786,0.40949041815404397
30,me2_205_7m,7mo,_03,0.39401932027682707,0.6723884916449859,0.7826296876521807,0.6686889197811601
31,me2_215_7m,7mo,_03,0.9399378859472236,0.9319549280224504,0.9182977037569426,0.832964313668379
32,me2_217_7m,7mo,_03,0.5392523467276229,0.743489364250527,0.680532108000744,0.6404491898919091
33,me2_104_7m,7mo,_03,0.8930502269724491,0.8520753228775267,0.7649506158445756,0.6669421586328776
34,me2_120_7m,7mo,_03,0.7150241148247058,0.8176540254783677,0.7317534798209422,0.6867811061635964
35,me2_106_7m,7mo,_03,0.842144607022752,0.8452933655287052,0.8710955909617365,0.633571941685663
